paragraf,opis
488,"Pokrycie przejętych zobowiązań po likwidowanym instytucie badawczym Paragraf ten obejmuje wydatki, o których mowa w art. 18 ust. 5 ustawy z dnia 30 kwietnia 2010 r. o instytutach badawczych (Dz. U. z 2019 r. poz. 1350, z późn. zm.)."
489,Pokrycie przejętych zobowiązań po likwidowanych jednostkach zaliczanych do sektora finansów publicznych
491,Pokrycie przejętych zobowiązań po przekształcanych jednostkach zaliczanych do sektora finansów publicznych
492,"Spłata zobowiązań jednostek samorządu terytorialnego zaliczanych do tytułu dłużnego - kredyty i pożyczki, o którym mowa w art. 72 ust. 1 pkt 2 ustawy"
493,Wydatki państwowego funduszu celowego na cele związane z zaspokojeniem roszczeń byłych właścicieli mienia przejętego przez Skarb Państwa oraz usuwaniem skutków prawnych decyzji reprywatyzacyjnych wydanych z naruszeniem prawa
497,Nierozliczone środki budżetowe przekazane jednostkom budżetowym mającym siedziby poza granicami Rzeczypospolitej Polskiej oraz jednostkom wojskowym poza granicami państwa na finansowanie wydatków
498,Zwroty dotyczące rozliczeń z Komisją Europejską oraz z państwami członkowskimi Europejskiego Porozumienia o Wolnym Handlu (EFTA)
603,Wniesienie wkładów do spółek prawa handlowego oraz na uzupełnienie funduszy statutowych banków państwowych i innych instytucji finansowych
615,"Wydatki majątkowe jednostek samorządu terytorialnego na spłatę zobowiązań zaliczanych do tytułu dłużnego - kredyty i pożyczki, o którym mowa w art. 72 ust. 1 pkt 2 ustawy"
616,Wydatki na współfinansowanie programów inwestycyjnych NATO i UE Paragraf ten obejmuje wydatki na programy w dziedzinie bezpieczeństwa określone przez Ministerstwo Obrony Narodowej.
617,Wpłaty jednostek na państwowy fundusz celowy na finansowanie lub dofinansowanie zadań inwestycyjnych
618,"Środki na inwestycje na drogach publicznych powiatowych i wojewódzkich oraz na drogach powiatowych, wojewódzkich i krajowych w granicach miast na prawach powiatu"
619,"Dotacja celowa z budżetu jednostki samorządu terytorialnego, udzielona w trybie art. 221 ustawy, na dofinansowanie inwestycji w ramach zadań zleconych do realizacji organizacjom prowadzącym działalność pożytku publicznego"
620,"Dotacja celowa w ramach programów finansowanych z udziałem środków europejskich oraz środków, o których mowa w art. 5 ust. 1 pkt 3 oraz ust. 3 pkt 5 i 6 ustawy, lub płatności w ramach budżetu środków europejskich, z wyłączeniem wydatków klasyfikowanych w paragrafie 625"
621,Dotacja celowa z budżetu na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych samorządowych zakładów budżetowych
622,Dotacja celowa z budżetu na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych innych jednostek sektora finansów publicznych
623,Dotacja celowa z budżetu na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek niezaliczanych do sektora finansów publicznych
625,"Dotacja celowa w ramach programów finansowanych z udziałem środków europejskich oraz środków, o których mowa w art. 5 ust. 3 pkt 5 lit. a i b ustawy, lub płatności w ramach budżetu środków europejskich, realizowanych przez jednostki samorządu terytorialnego"
626,Dotacja z państwowego funduszu celowego na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek sektora finansów publicznych
627,Dotacja z państwowego funduszu celowego na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek niezaliczanych do sektora finansów publicznych
628,Środki przekazane przez pozostałe jednostki zaliczane do sektora finansów publicznych na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek zaliczanych do sektora finansów publicznych
629,Środki przekazane przez pozostałe jednostki zaliczane do sektora finansów publicznych na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek niezaliczanych do sektora finansów publicznych
630,Dotacja celowa na pomoc finansową udzielaną między jednostkami samorządu terytorialnego na dofinansowanie własnych zadań inwestycyjnych i zakupów inwestycyjnych
631,Dotacja celowa przekazana z budżetu państwa na inwestycje i zakupy inwestycyjne z zakresu administracji rządowej oraz innych zadań zleconych gminom ustawami
632,Dotacja celowa przekazana z budżetu państwa na inwestycje i zakupy inwestycyjne realizowane przez gminę na podstawie porozumień z organami administracji rządowej
633,"Dotacja celowa przekazana z budżetu państwa na realizację inwestycji i zakupów inwestycyjnych własnych gmin (związków gmin, związków powiatowo-gminnych)"
634,"Dotacja celowa przekazana z budżetu państwa na inwestycje i zakupy inwestycyjne z zakresu administracji rządowej zlecone gminom (związkom gmin, związkom powiatowo-gminnym), związane z realizacją świadczenia wychowawczego stanowiącego pomoc państwa w wychowywaniu dzieci"
635,Środki z państwowych funduszy celowych na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek sektora finansów publicznych
636,Środki z państwowych funduszy celowych na finansowanie lub dofinansowanie kosztów realizacji inwestycji i zakupów inwestycyjnych jednostek niezaliczanych do sektora finansów publicznych
637,Wydatki poniesione ze środków z Rządowego Funduszu Polski Ład: Program Inwestycji Strategicznych na realizację zadań inwestycyjnych
638,Środki z Funduszu Pomocy na finansowanie lub dofinansowanie inwestycji i zakupów inwestycyjnych w zakresie pomocy obywatelom Ukrainy dla jednostki sektora finansów publicznych
639,Środki na finansowanie lub dofinansowanie inwestycji i zakupów inwestycyjnych w zakresie pomocy obywatelom Ukrainy
641,Dotacja celowa przekazana z budżetu państwa na inwestycje i zakupy inwestycyjne z zakresu administracji rządowej oraz inne zadania zlecone ustawami realizowane przez powiat
642,Dotacja celowa przekazana z budżetu państwa na inwestycje i zakupy inwestycyjne realizowane przez powiat na podstawie porozumień z organami administracji rządowej
643,Dotacja celowa przekazana z budżetu państwa na realizację inwestycji i zakupów inwestycyjnych własnych powiatu
644,"Dotacja celowa przekazana z budżetu państwa na inwestycje i zakupy inwestycyjne z zakresu administracji rządowej zlecone powiatom, związane z realizacją dodatku wychowawczego, dodatku do zryczałtowanej kwoty oraz dodatku w wysokości świadczenia wychowawczego stanowiących pomoc państwa w wychowywaniu dzieci"
646,Środki z Funduszu Pomocy na finansowanie lub dofinansowanie inwestycji i zakupów inwestycyjnych w zakresie pomocy obywatelom Ukrainy dla jednostki spoza sektora finansów publicznych
647,Dotacja celowa dla jednostki spoza sektora finansów publicznych na finansowanie lub dofinansowanie inwestycji i zakupów inwestycyjnych związanych z pomocą obywatelom Ukrainy
648,Wydatki na inwestycje związane z pomocą obywatelom Ukrainy
649,Wydatki na zakupy inwestycyjne związane z pomocą obywatelom Ukrainy
651,Dotacja celowa przekazana z budżetu państwa na inwestycje i zakupy inwestycyjne z zakresu administracji rządowej oraz inne zadania zlecone ustawami realizowane przez samorząd województwa
652,Dotacja celowa przekazana z budżetu państwa na inwestycje i zakupy inwestycyjne realizowane przez samorząd województwa na podstawie porozumień z organami administracji rządowej
653,Dotacja celowa przekazana z budżetu państwa na realizację inwestycji i zakupów inwestycyjnych własnych samorządu województwa
654,"Dotacja celowa przekazana z budżetu państwa dla państwowej instytucji kultury na dofinansowanie zadań inwestycyjnych objętych mecenatem państwa, wykonywanych w ramach programów ministra właściwego do spraw kultury i ochrony dziedzictwa narodowego przez samorządowe instytucje kultury"
655,"Dotacja celowa przekazana z budżetu państwa dla państwowej instytucji kultury na dofinansowanie zadań inwestycyjnych objętych mecenatem państwa, wykonywanych w ramach programów ministra właściwego do spraw kultury i ochrony dziedzictwa narodowego przez jednostki niezaliczane do sektora finansów publicznych"
656,Dotacja celowa przekazana z budżetu na finansowanie lub dofinansowanie zadań inwestycyjnych obiektów zabytkowych jednostkom zaliczanym do sektora finansów publicznych
657,Dotacja celowa przekazana z budżetu na finansowanie lub dofinansowanie zadań inwestycyjnych obiektów zabytkowych jednostkom niezaliczanym do sektora finansów publicznych
658,Wydatki inwestycyjne dotyczące obiektów zabytkowych będących w użytkowaniu jednostek budżetowych
659,Środki przekazane przez jednostki samorządu terytorialnego na finansowanie lub dofinansowanie zadań inwestycyjnych na podstawie odrębnych przepisów
661,Dotacja celowa przekazana gminie na inwestycje i zakupy inwestycyjne realizowane na podstawie porozumień (umów) między jednostkami samorządu terytorialnego
662,Dotacja celowa przekazana dla powiatu na inwestycje i zakupy inwestycyjne realizowane na podstawie porozumień (umów) między jednostkami samorządu terytorialnego
663,Dotacja celowa przekazana do samorządu województwa na inwestycje i zakupy inwestycyjne realizowane na podstawie porozumień (umów) między jednostkami samorządu terytorialnego
664,Dotacja celowa przekazana jednostce samorządu terytorialnego przez inną jednostkę samorządu terytorialnego będącą instytucją wdrażającą na inwestycje i zakupy inwestycyjne realizowane na podstawie porozumień (umów)
665,"Wpłaty gmin i powiatów na rzecz innych jednostek samorządu terytorialnego oraz związków gmin, związków powiatowo-gminnych lub związków powiatów na dofinansowanie zadań inwestycyjnych i zakupów inwestycyjnych"
666,"Zwroty dotacji oraz płatności wykorzystanych niezgodnie z przeznaczeniem lub wykorzystanych z naruszeniem procedur, o których mowa w art. 184 ustawy, pobranych nienależnie lub w nadmiernej wysokości, dotyczące wydatków majątkowych"
667,Środki Funduszu Promocji Kultury przekazane Polskiemu Instytutowi Sztuki Filmowej na realizację zadań inwestycyjnych
668,Środki z budżetu państwa dla Funduszu Wsparcia Sił Zbrojnych
669,"Zwroty niewykorzystanych dotacji oraz płatności, dotyczące wydatków majątkowych"
670,Dotacja celowa dla jednostki samorządu terytorialnego na finansowanie lub dofinansowanie własnych zadań inwestycyjnych i zakupów inwestycyjnych w zakresie pomocy obywatelom Ukrainy
671,Dotacja celowa dla jednostki samorządu terytorialnego na inwestycje i zakupy inwestycyjne z zakresu administracji rządowej w zakresie pomocy obywatelom Ukrainy
672,Dotacja celowa dla pozostałych jednostek sektora finansów publicznych na finansowanie lub dofinansowanie inwestycji i zakupów inwestycyjnych w zakresie pomocy obywatelom Ukrainy
680,Rezerwy na inwestycje i zakupy inwestycyjne
801,Rozliczenia z bankami związane z obsługą długu publicznego
802,Wypłaty z tytułu zagranicznych poręczeń i gwarancji
803,Wypłaty z tytułu krajowych poręczeń i gwarancji
804,"Obsługa zobowiązań jednostek samorządu terytorialnego zaliczanych do tytułu dłużnego - kredyty i pożyczki, o którym mowa w art. 72 ust. 1 pkt 2 ustawy"
806,"Odsetki, dyskonto i inne rozliczenia dotyczące skarbowych papierów wartościowych, kredytów i pożyczek oraz innych instrumentów finansowych, związanych z obsługą długu zagranicznego"
807,"Odsetki, dyskonto i inne rozliczenia dotyczące skarbowych papierów wartościowych, kredytów i pożyczek oraz innych instrumentów finansowych, związanych z obsługą długu krajowego"
808,Koszty emisji skarbowych papierów wartościowych na rynkach zagranicznych oraz inne opłaty i prowizje
809,Koszty emisji samorządowych papierów wartościowych oraz inne opłaty i prowizje
810,Koszty emisji skarbowych papierów wartościowych na rynku krajowym oraz inne opłaty i prowizje
811,Odsetki od samorządowych papierów wartościowych lub zaciągniętych przez jednostkę samorządu terytorialnego kredytów i pożyczek
812,Odsetki od pożyczek udzielonych przez jednostkę samorządu terytorialnego
813,Dyskonto od samorządowych papierów wartościowych
814,Wydatki związane z finansowaniem programu F-16
851,Wpłata obliczona na podstawie Dochodu Narodowego Brutto
852,"Wpłata obliczona, zgodnie z metodologią wynikającą z przepisów Unii Europejskiej, na podstawie podatku od towarów i usług"
853,Wpłata z tytułu udziału w opłatach celnych i opłatach rolnych
854,Wpłata z tytułu udziału w opłatach cukrowych
855,Różne rozliczenia finansowe
856,Wpłata z tytułu finansowania rabatu brytyjskiego
858,Wpłata obliczona na podstawie masy odpadów opakowaniowych z tworzyw sztucznych niepoddanych recyklingowi
